,majaxis_pix,majaxis_H,sum_Qphi_H,sum_Uphi_H,f_H,majaxis_V,sum_Qphi_V,sum_Uphi_V,f_V,majaxis_I,sum_Qphi_I,sum_Uphi_I,f_I
127,131,1607.37,1513.1302767329125,0.005203346009047482,1.0045400738936507,,,,,,,,
128,132,1619.6399999999999,1527.1811976156139,0.003936380469702048,1.0044649596230182,,,,,,,,
129,133,1631.9099999999999,1537.238828788847,0.0058137923072677,1.0043982568515264,,,,,,,,
130,134,1644.1799999999998,1541.3458462387132,0.004627177080772279,1.0043171062338312,,,,,,,,
131,135,1656.45,1567.3309845499703,0.004364504428862763,1.0042550141072752,,,,,,,,
132,136,1668.72,1589.3240021832635,0.007249406845885435,1.004200526643759,,,,,,,,
133,137,1680.99,1591.4357574028927,0.008016035853396759,1.0041247298652003,,,,,,,,
134,138,1693.26,1597.5041042290597,0.0077942300990019985,1.004066277985605,,,,,,,,
135,139,1705.53,1595.5655988442124,0.00038638005401562614,1.0040326772903907,,,,,,,,
136,140,1717.8,1601.6391842268106,-0.00045994857691575525,1.0039714411559306,,,,,,,,
137,141,1730.07,1627.6247986147748,4.42470567819732e-05,1.0039168740797333,,,,,,,,
138,142,1742.34,1633.7100015045055,0.0002426560474433092,1.0038501315960005,,,,,,,,
139,143,1754.61,1627.830187604685,0.002248497397201019,1.0037902064000874,,,,,,,,
140,144,1766.8799999999999,1679.71028790509,0.0014241103776141343,1.0037445219810819,,,,,,,,
141,145,1779.1499999999999,1665.85862270314,-0.0008734703301977589,1.003686613745706,,,,,,,,
142,146,1791.4199999999998,1695.835794378321,0.0009812691287459467,1.0036349071308162,,,,,,,,
143,147,1803.6899999999998,1703.8960745071242,-0.0007127908920567585,1.0035823343830645,,,,,,,,
144,148,1815.96,1690.0346983899215,-0.000693789223266453,1.003529691796128,,,,,,,,
145,149,1828.23,1753.8813276921262,0.0008970614349842137,1.0034886467010429,,,,,,,,
146,150,1840.5,1726.0333202023544,0.0065865364130676144,1.0034568740520873,,,,,,,,
147,151,1852.77,1728.1265169084902,0.005561475368927306,1.0033987575759309,,,,,,,,
148,152,1865.04,1764.079508191203,0.006552640169326619,1.0033561366034276,,,,,,,,
149,153,1877.31,1732.271658015407,0.004913777158220862,1.0033068381382835,,,,,,,,
150,154,1889.58,1776.2005717934765,0.005561168426573921,1.0032650750701357,,,,,,,,
151,155,1901.85,1778.2764655468889,0.005939611470320906,1.0032185852784994,,,,,,,,
152,156,1914.12,1784.3417166370793,0.0058358160009102135,1.0031710760949897,,,,,,,,
153,157,1926.3899999999999,1820.2927352932547,0.00643816649923205,1.003135355427228,,,,,,,,
154,158,1938.6599999999999,1802.4218278357168,0.0038414648241462007,1.0030948205786996,,,,,,,,
155,159,1950.9299999999998,1834.404164231923,0.004551328304561319,1.0030504922945485,,,,,,,,
156,160,1963.1999999999998,1854.4141146913191,0.005961870494572652,1.0030122103064398,,,,,,,,
157,161,1975.47,1874.4053276146165,0.004707715691786014,1.002984771918304,,,,,,,,
158,162,1987.74,1872.4767932794598,0.004442362086506991,1.0029496796651172,,,,,,,,
159,163,2000.01,1906.4348427442771,0.004751801141908264,1.0029191436974116,,,,,,,,
160,164,2012.28,1908.5145572359834,0.0037055876972896177,1.0028741948774869,,,,,,,,
161,165,2024.55,1912.5709307229229,0.003471443595592198,1.0028386237550024,,,,,,,,
162,166,2036.82,1918.6277894801517,0.002859918856597441,1.0028000274723967,,,,,,,,
163,167,2049.09,1950.5986364168978,0.004020002571567689,1.0027690799543592,,,,,,,,
164,168,2061.36,1978.5879030858923,0.006109934424826846,1.002735333065398,,,,,,,,
165,169,2073.63,1956.723225756736,0.004492544485277536,1.0026967402307105,,,,,,,,
166,170,2085.9,1966.7557945218543,0.003947426662720755,1.0026664243180332,,,,,,,,
167,171,2098.17,1976.7625128940515,0.0006466532134177412,1.0026495277362786,,,,,,,,
168,172,2110.44,1986.8060278755042,-0.0002469956382458483,1.0026142321150746,,,,,,,,
169,173,2122.71,2020.7810759606357,0.00010277958354963369,1.0025826271343536,,,,,,,,
170,174,2134.98,2010.8721819617078,9.6641788048224e-05,1.0025500467330994,,,,,,,,
171,175,2147.25,2012.9185624894835,0.0010777837949755187,1.002524412862601,,,,,,,,
172,176,2159.52,2042.9041855869066,-0.0009218780573209027,1.0024943971670552,,,,,,,,
173,177,2171.79,2040.9764825956208,-0.0018996625420820055,1.002461330371622,,,,,,,,
174,178,2184.06,2084.930181001826,-0.0003846703207868439,1.0024316492918424,,,,,,,,
175,179,2196.33,2069.0228670277615,8.307706415102809e-06,1.002405547590389,,,,,,,,
176,180,2208.6,2079.053283928029,0.0004077422683678139,1.0023793118291922,,,,,,,,
177,181,2220.87,2113.0323293753145,0.0010563726551769835,1.0023509676381308,,,,,,,,
178,182,2233.14,2077.159511909919,0.005829760532694894,1.002330340092962,,,,,,,,
179,183,2245.41,2107.1506693431475,0.003779256890910461,1.0023013687285893,,,,,,,,
180,184,2257.68,2107.195098966177,0.004367611679598332,1.0022802354827898,,,,,,,,
181,185,2269.95,2115.2402288743265,0.003699682646794118,1.002250227213297,,,,,,,,
182,186,2282.22,2163.1760094371098,0.005071951448527942,1.0022300499551793,,,,,,,,
183,187,2294.49,2141.2865284875024,0.005314953664534843,1.0022012334406396,,,,,,,,
